step,epoch,lr,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt
65,65,0.0014355517710873194,0.014784434470270934,0.9949,0.032676722869277,0.9895,1744268832.8968983,2025/04/10 16:07:12,812.9257531166077,13.5m
66,66,0.001365023750651134,0.01426889622360468,0.9952,0.034162439860403536,0.9905,1744268845.5475113,2025/04/10 16:07:25,825.576366186142,13.8m
67,67,0.0012956158147457123,0.013451089620962739,0.9955,0.03589057513698936,0.9905,1744268857.986976,2025/04/10 16:07:37,838.0158307552338,14.0m
68,68,0.0012273964606240725,0.01868274905756116,0.9934,0.03970269751176238,0.9895,1744268870.3824375,2025/04/10 16:07:50,850.4112923145294,14.2m
69,69,0.0011604330125525085,0.012233341643959283,0.9957,0.04061738566798158,0.9905,1744268882.7565002,2025/04/10 16:08:02,862.785355091095,14.4m
70,70,0.001094791555369674,0.011527473141998052,0.9958,0.046152032447513196,0.988,1744268895.119599,2025/04/10 16:08:15,875.148453950882,14.6m
71,71,0.001030536869268818,0.014900013953447342,0.9949,0.042540766527410595,0.9885,1744268907.5103452,2025/04/10 16:08:27,887.5392000675201,14.8m
72,72,0.000967732365867559,0.013879476408660411,0.9945,0.03769787372741848,0.9915,1744268920.0611184,2025/04/10 16:08:40,900.0899732112885,15.0m
73,73,0.0009064400256282761,0.01700956050157547,0.9933,0.03569183865189552,0.9915,1744268932.9310164,2025/04/10 16:08:52,912.9598712921143,15.2m
74,74,0.0008467203366908712,0.01017763998429291,0.9963,0.03820811009593308,0.991,1744268945.3519857,2025/04/10 16:09:05,925.3808405399323,15.4m
75,75,0.0007886322351782786,0.011132501907646655,0.9958,0.03587436886131763,0.9915,1744268957.8017986,2025/04/10 16:09:17,937.8306534290314,15.6m
76,76,0.0007322330470336318,0.011754083609580994,0.9955,0.036894959442288384,0.9925,1744268970.1461487,2025/04/10 16:09:30,950.175003528595,15.8m
77,77,0.000677578431446472,0.01485840123771486,0.9947,0.03808696101605892,0.99,1744268982.5152833,2025/04/10 16:09:42,962.5441381931305,16.0m
78,78,0.0006247223259238514,0.009698866186104715,0.9959,0.04008011356694624,0.991,1744268995.297983,2025/04/10 16:09:55,975.3268377780914,16.3m
79,79,0.0005737168930605275,0.009122956456523388,0.9968,0.04006754133105278,0.9895,1744269007.7505434,2025/04/10 16:10:07,987.7793982028961,16.5m
80,80,0.0005246124690607743,0.009699040553718806,0.9963,0.039104072246700525,0.9895,1744269020.1695018,2025/04/10 16:10:20,1000.198356628418,16.7m
81,81,0.00047745751406263196,0.006172122119739652,0.9977,0.04099512032605707,0.989,1744269032.661465,2025/04/10 16:10:32,1012.690319776535,16.9m
82,82,0.000432298564313596,0.0075125958615913984,0.9974,0.04010172398202121,0.9905,1744269045.5300884,2025/04/10 16:10:45,1025.558943271637,17.1m
83,83,0.0003891801862449631,0.007747382101183757,0.9973,0.04074071667343378,0.991,1744269057.9403245,2025/04/10 16:10:57,1037.969179391861,17.3m
84,84,0.00034814493249014087,0.007074644547700882,0.9978,0.040275788843864575,0.9895,1744269070.340639,2025/04/10 16:11:10,1050.3694939613342,17.5m
85,85,0.00030923329989034125,0.0051682470584171825,0.9983,0.042448202108033004,0.9895,1744269082.8623204,2025/04/10 16:11:22,1062.8911752700806,17.7m
86,86,0.0002724836895290807,0.004863815194554627,0.9985,0.043526567320805044,0.991,1744269095.436218,2025/04/10 16:11:35,1075.4650728702545,17.9m
87,87,0.00023793236883495176,0.005999622886721045,0.998,0.04051042389404029,0.99,1744269108.0065622,2025/04/10 16:11:48,1088.0354170799255,18.1m
